chapter,chapter_title
01,CHAPTER 01 - LIVE ANIMALS
02,CHAPTER 02 - MEAT AND EDIBLE MEAT OFFAL
03,"CHAPTER 03 - FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES"
04,"CHAPTER 04 - DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
05,"CHAPTER 05 - PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED"
06,"CHAPTER 06 - LIVE TREES AND OTHER PLANTS; BULBS, ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE"
07,CHAPTER 07 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS
08,CHAPTER 08 - EDIBLE FRUIT AND NUTS; PEEL OF CITRUS FRUIT OR MELONS
09,"CHAPTER 09 - COFFEE, TEA, MATE AND SPICES"
10,CHAPTER 10 - CEREALS
11,CHAPTER 11 - PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN
12,"CHAPTER 12 - OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER"
13,"CHAPTER 13 - LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS"
14,CHAPTER 14 - VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED
15,CHAPTER 15 - ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES
16,"CHAPTER 16 - PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
17,CHAPTER 17 - SUGARS AND SUGAR CONFECTIONERY
18,CHAPTER 18 - COCOA AND COCOA PREPARATIONS
19,"CHAPTER 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS"
20,"CHAPTER 20 - PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS"
21,CHAPTER 21 - MISCELLANEOUS EDIBLE PREPARATIONS
22,"CHAPTER 22 - BEVERAGES, SPIRITS AND VINEGAR"
23,CHAPTER 23 - RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER
24,CHAPTER 24 - TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES
25,"CHAPTER 25 - SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT"
26,"CHAPTER 26 - ORES, SLAG AND ASH"
27,"CHAPTER 27 - MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES"
28,"CHAPTER 28 - INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES"
29,CHAPTER 29 - ORGANIC CHEMICALS
30,CHAPTER 30 - PHARMACEUTICAL PRODUCTS
31,CHAPTER 31 - FERTILISERS
32,"CHAPTER 32 - TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS"
33,"CHAPTER 33 - ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS"
34,"CHAPTER 34 - SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER"
35,CHAPTER 35 - ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES
36,CHAPTER 36 - EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS
37,CHAPTER 37 - PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS
38,CHAPTER 38 - MISCELLANEOUS CHEMICAL PRODUCTS
39,CHAPTER 39 - PLASTICS AND ARTICLES THEREOF
40,CHAPTER 40 - RUBBER AND ARTICLES THEREOF
41,CHAPTER 41 - RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER
42,"CHAPTER 42 - ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)"
43,CHAPTER 43 - FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF
44,CHAPTER 44 - WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL
45,CHAPTER 45 - CORK AND ARTICLES OF CORK
46,"CHAPTER 46 - MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK"
47,CHAPTER 47 - PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; RECOVERED (WASTE AND SCRAP) PAPER OR PAPERBOARD
