chapter,heading,heading_description,subheading,subheading_description,code,description
01,0101,"Live horses, asses, mules and hinnies",01012,Horses,0101210000-00-00,Pure-bred breeding animals
01,0101,"Live horses, asses, mules and hinnies",01012,Horses,010129**00-**-00,For slaughter
01,0101,"Live horses, asses, mules and hinnies",01012,Horses,0101291000-10-00,For slaughter
01,0101,"Live horses, asses, mules and hinnies",01012,Horses,0101299000-90-00,Other
01,0101,"Live horses, asses, mules and hinnies",01012,Horses,0101300000-00-00,Asses
01,0101,"Live horses, asses, mules and hinnies",01012,Horses,0101900000-00-00,Other
01,0102,Live bovine animals,01022,Cattle,010221**00-**-00,Heifers (female bovines that have never calved)
01,0102,Live bovine animals,01022,Cattle,0102211000-10-00,Heifers (female bovines that have never calved)
01,0102,Live bovine animals,01022,Cattle,0102213000-30-00,Cows
01,0102,Live bovine animals,01022,Cattle,0102219000-90-00,Other
01,0102,Live bovine animals,01022,Cattle,010229**00-**-00,Of the sub-genus Bibos or of the sub-genus Poephagus
01,0102,Live bovine animals,01022,Cattle,0102290500-05-00,Of the sub-genus Bibos or of the sub-genus Poephagus
01,0102,Live bovine animals,01022,Cattle,0102291000-10-00,Of a weight not exceeding 80 kg
01,0102,Live bovine animals,01022,Cattle,0102292*00-2*-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102292100-21-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102292900-29-00,Other
01,0102,Live bovine animals,01022,Cattle,0102294*00-4*-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102294100-41-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102294900-49-00,Other
01,0102,Live bovine animals,01022,Cattle,0102295*00-5*-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102295100-51-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102295900-59-00,Other
01,0102,Live bovine animals,01022,Cattle,0102296*00-6*-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102296100-61-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102296900-69-00,Other
01,0102,Live bovine animals,01022,Cattle,0102299*00-9*-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102299100-91-00,For slaughter
01,0102,Live bovine animals,01022,Cattle,0102299900-99-00,Other
01,0102,Live bovine animals,01023,Buffalo,0102310000-00-00,Pure-bred breeding animals
01,0102,Live bovine animals,01023,Buffalo,010239**00-**-00,Domestic species
01,0102,Live bovine animals,01023,Buffalo,0102391000-10-00,Domestic species
01,0102,Live bovine animals,01023,Buffalo,0102399000-90-00,Other
01,0102,Live bovine animals,01023,Buffalo,010290**00-**-00,Pure-bred breeding animals
01,0102,Live bovine animals,01023,Buffalo,0102902000-20-00,Pure-bred breeding animals
01,0102,Live bovine animals,01023,Buffalo,0102909*00-9*-00,Domestic species
01,0102,Live bovine animals,01023,Buffalo,0102909100-91-00,Domestic species
01,0102,Live bovine animals,01023,Buffalo,0102909900-99-00,Other
01,0103,Live swine,,,0103100000-00-00,Pure-bred breeding animals
01,0103,Live swine,01039,Other,010391**00-**-00,Domestic species
01,0103,Live swine,01039,Other,0103911000-10-00,Domestic species
01,0103,Live swine,01039,Other,0103919000-90-00,Other
01,0103,Live swine,01039,Other,010392**00-**-00,"Sows having farrowed at least once, of a weight of not less than 160 kg"
01,0103,Live swine,01039,Other,0103921*00-1*-00,"Sows having farrowed at least once, of a weight of not less than 160 kg"
01,0103,Live swine,01039,Other,0103921100-11-00,"Sows having farrowed at least once, of a weight of not less than 160 kg"
01,0103,Live swine,01039,Other,0103921900-19-00,Other
01,0103,Live swine,01039,Other,0103929000-90-00,Other
01,0104,Live sheep and goats,,,010410**00-**-00,Pure-bred breeding animals
01,0104,Live sheep and goats,,,0104101000-10-00,Pure-bred breeding animals
01,0104,Live sheep and goats,,,0104103000-30-00,Lambs (up to a year old)
01,0104,Live sheep and goats,,,0104108000-80-00,Other
01,0104,Live sheep and goats,,,010420**00-**-00,Pure-bred breeding animals
01,0104,Live sheep and goats,,,0104201000-10-00,Pure-bred breeding animals
01,0104,Live sheep and goats,,,0104209000-90-00,Other
01,0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",01051,Weighing not more than 185 g,010511**00-**-00,Laying stocks
